latitude,longitude
-22.9058,-43.2101
-22.9059,-43.21
-22.9059,-43.21
-22.9065,-43.21
-22.9065,-43.21
-22.9065,-43.21
-22.9068,-43.21
-22.9068,-43.21
-22.907,-43.21
-22.907,-43.21
-22.9084,-43.2099
-22.9092,-43.2099
-22.9096,-43.2098
-22.9097,-43.2098
-22.9097,-43.2098
-22.9099,-43.2097
-22.91,-43.2097
-22.91,-43.2097
-22.9102,-43.2096
-22.9103,-43.2094
-22.9104,-43.2093
-22.9105,-43.2091
-22.9106,-43.2089
-22.9106,-43.2088
-22.9106,-43.2086
-22.9107,-43.2084
-22.9107,-43.2082
-22.9107,-43.208
-22.9107,-43.2079
-22.9106,-43.2077
-22.9103,-43.2067
-22.9101,-43.2061
-22.9101,-43.2061
-22.9095,-43.2042
-22.9095,-43.2042
-22.9094,-43.2038
-22.9093,-43.2034
-22.9093,-43.2034
-22.9087,-43.2016
-22.9084,-43.2006
-22.9084,-43.2006
-22.9082,-43.2002
-22.9082,-43.2001
-22.9081,-43.2
-22.908,-43.1996
-22.908,-43.1996
-22.9079,-43.1993
-22.9077,-43.1987
-22.9075,-43.198
-22.9075,-43.198
-22.9073,-43.1975
-22.9073,-43.1974
-22.907,-43.1965
-22.907,-43.1965
-22.9068,-43.1958
-22.9067,-43.1956
-22.9067,-43.1956
-22.9064,-43.1948
-22.9063,-43.1946
-22.9063,-43.1946
-22.9062,-43.1943
-22.9051,-43.1909
-22.9051,-43.1909
-22.905,-43.1907
-22.905,-43.1907
-22.9047,-43.1896
-22.9044,-43.1887
-22.9042,-43.1882
-22.9042,-43.1882
-22.9039,-43.1873
-22.9037,-43.1864
-22.9033,-43.1854
-22.9031,-43.1846
-22.9029,-43.1839
-22.9029,-43.1839
-22.9026,-43.1831
-22.9026,-43.1831
-22.9023,-43.1821
-22.9021,-43.1814
-22.9021,-43.1814
-22.9013,-43.1791
-22.9013,-43.1791
-22.9012,-43.1781
-22.9012,-43.1781
-22.9012,-43.178
-22.901,-43.1773
-22.9009,-43.1772
-22.9009,-43.1772
-22.9009,-43.1772
-22.9009,-43.1772
-22.9006,-43.1768
-22.9006,-43.1768
-22.9005,-43.1766
-22.9004,-43.1765
-22.9003,-43.1762
-22.9002,-43.176
-22.9002,-43.1759
-22.9002,-43.1759
-22.9002,-43.1758
-22.9002,-43.1757
-22.9002,-43.1756
-22.9003,-43.1755
-22.9005,-43.1753
-22.9008,-43.1751
-22.9016,-43.1744
-22.9016,-43.1744
-22.9019,-43.1741
-22.9021,-43.1739
-22.9023,-43.1738
-22.9023,-43.1738
-22.9028,-43.1734
-22.9036,-43.1728
-22.9038,-43.1726
-22.904,-43.1724
-22.9041,-43.1722
-22.9043,-43.172
-22.9044,-43.1717
-22.9045,-43.1713
-22.9045,-43.1713
-22.9049,-43.1702
-22.9049,-43.1702
-22.9054,-43.1691
-22.9054,-43.1691
-22.9054,-43.169
-22.9055,-43.1689
-22.9056,-43.1689
-22.9057,-43.1688
-22.9058,-43.1687
-22.9059,-43.1687
-22.9063,-43.1687
-22.9063,-43.1687
-22.9069,-43.1686
-22.9069,-43.1686
-22.9075,-43.1686
-22.9076,-43.1686
-22.9077,-43.1686
-22.9078,-43.1685
-22.9078,-43.1685
-22.9078,-43.1685
-22.9082,-43.1684
-22.9082,-43.1684
-22.9094,-43.1684
-22.9097,-43.1684
-22.91,-43.1684
-22.9102,-43.1684
-22.9104,-43.1684
-22.9104,-43.1684
-22.9106,-43.1685
-22.9107,-43.1685
-22.9108,-43.1686
-22.911,-43.1687
-22.9111,-43.1688
-22.9111,-43.1688
-22.9113,-43.1691
-22.9114,-43.1692
-22.9114,-43.1693
-22.9115,-43.1695
-22.9116,-43.1698
-22.9116,-43.1698
-22.9117,-43.1706
-22.9117,-43.1706
-22.9117,-43.1709
-22.9118,-43.1713
-22.9118,-43.1716
-22.9119,-43.1718
-22.912,-43.1719
-22.912,-43.1719
-22.9121,-43.1722
-22.9123,-43.1724
-22.9123,-43.1724
-22.9124,-43.1725
-22.9127,-43.1729
-22.913,-43.1732
-22.9135,-43.1737
-22.9137,-43.1738
-22.914,-43.1741
-22.9143,-43.1743
-22.9146,-43.1744
-22.9149,-43.1746
-22.9149,-43.1746
-22.9154,-43.1748
-22.9156,-43.1748
-22.9162,-43.175
-22.9164,-43.175
-22.917,-43.175
-22.9176,-43.175
-22.9181,-43.1748
-22.9186,-43.1747
-22.919,-43.1745
-22.9192,-43.1744
-22.9192,-43.1744
-22.9194,-43.1743
-22.9197,-43.1741
-22.9199,-43.1739
-22.9201,-43.1737
-22.9203,-43.1735
-22.9203,-43.1735
-22.9207,-43.1729
-22.9207,-43.1729
